"kabupaten_kota";"jumlah_pergerakan_wisatawan_nusantara";"jumlah_pergerakan_wisatawan_mancanegara";"periode_update"
"Ponorogo";"97251";"0";"Desember 2018"
"Probolinggo";"86931";"4461";"Desember 2018"
"Sampang";"40316";"0";"Desember 2018"
"Sidoarjo";"233696";"659";"Desember 2018"
"Situbondo";"74771";"76";"Desember 2018"
"Sumenep";"129721";"105";"Desember 2018"
"Trenggalek";"89246";"0";"Desember 2018"
"Tuban";"847316";"72";"Desember 2018"
"Tulungagung";"19308";"0";"Desember 2018"
"Kota Batu";"728696";"1177";"Desember 2018"
"Kota Blitar";"217923";"59";"Desember 2018"
"Kota Kediri";"12852";"0";"Desember 2018"
"Kota Madiun";"9100";"0";"Desember 2018"
"Kota Malang";"252040";"8274";"Desember 2018"
"Kota Mojokerto";"4746";"0";"Desember 2018"
"Kota Pasuruan";"16603";"0";"Desember 2018"
"Kota Probolinggo";"68114";"177";"Desember 2018"
"Kota Surabaya";"211350";"1300";"Desember 2018"
"Bangkalan";"394641";"18";"Januari 2019"
"Banyuwangi";"812097";"4262";"Januari 2019"
"Blitar";"319696";"36";"Januari 2019"
"Bojonegoro";"97480";"0";"Januari 2019"
"Bondowoso";"54116";"2785";"Januari 2019"
"Gresik";"261425";"2016";"Januari 2019"
"Jember";"1500";"0";"Januari 2019"
"Jombang";"99674";"0";"Januari 2019"
"Kediri";"333487";"80";"Januari 2019"
"Lamongan";"299097";"14";"Januari 2019"
"Lumajang";"97529";"185";"Januari 2019"
"Madiun";"56796";"0";"Januari 2019"
"Magetan";"251254";"0";"Januari 2019"
"Malang";"757032";"3334";"Januari 2019"
"Mojokerto";"148328";"238";"Januari 2019"
"Nganjuk";"71712";"0";"Januari 2019"
"Ngawi";"73188";"3";"Januari 2019"
"Pacitan";"96274";"263";"Januari 2019"
"Pamekasan";"24702";"0";"Januari 2019"
"Pasuruan";"255135";"237";"Januari 2019"
"Ponorogo";"60849";"38";"Januari 2019"
"Probolinggo";"90998";"2235";"Januari 2019"
"Sampang";"29823";"0";"Januari 2019"
"Sidoarjo";"150784";"799";"Januari 2019"
"Situbondo";"106793";"77";"Januari 2019"
"Sumenep";"88662";"4";"Januari 2019"
"Trenggalek";"66482";"0";"Januari 2019"
"Tuban";"511604";"32";"Januari 2019"
"Tulungagung";"129330";"0";"Januari 2019"
"Kota Batu";"463025";"749";"Januari 2019"
"Kota Blitar";"136856";"92";"Januari 2019"
"Kota Kediri";"10905";"0";"Januari 2019"
"Kota Madiun";"4919";"0";"Januari 2019"
"Kota Malang";"317381";"797";"Januari 2019"
"Kota Mojokerto";"8675";"2";"Januari 2019"
"Kota Pasuruan";"6920";"13";"Januari 2019"
"Kota Probolinggo";"117983";"360";"Januari 2019"
"Kota Surabaya";"832057";"5081";"Januari 2019"
"Bangkalan";"97820";"20";"Februari 2019"
"Banyuwangi";"371873";"6748";"Februari 2019"
"Blitar";"201003";"59";"Februari 2019"
"Bojonegoro";"41099";"0";"Februari 2019"
"Bondowoso";"59828";"2469";"Februari 2019"
"Gresik";"257838";"2767";"Februari 2019"
"Jember";"980";"0";"Februari 2019"
"Jombang";"109483";"0";"Februari 2019"
"Kediri";"230965";"47";"Februari 2019"
"Lamongan";"280925";"11";"Februari 2019"
"Lumajang";"60738";"166";"Februari 2019"
"Madiun";"27524";"0";"Februari 2019"
"Magetan";"94175";"0";"Februari 2019"
"Malang";"1126741";"4437";"Februari 2019"
"Mojokerto";"89578";"100";"Februari 2019"
"Nganjuk";"37931";"0";"Februari 2019"
"Ngawi";"49979";"1";"Februari 2019"
"Pacitan";"59427";"26";"Februari 2019"
"Pamekasan";"20077";"0";"Februari 2019"
"Pasuruan";"255483";"279";"Februari 2019"
"Ponorogo";"64319";"68";"Februari 2019"
"Probolinggo";"52350";"1302";"Februari 2019"
"Sampang";"21154";"0";"Februari 2019"
"Sidoarjo";"139286";"565";"Februari 2019"
"Situbondo";"57205";"80";"Februari 2019"
"Sumenep";"75780";"2";"Februari 2019"
"Trenggalek";"31675";"0";"Februari 2019"
"Tuban";"437240";"181";"Februari 2019"
"Tulungagung";"62138";"0";"Februari 2019"
"Kota Batu";"573173";"1023";"Februari 2019"
"Kota Blitar";"117245";"74";"Februari 2019"
"Kota Kediri";"12656";"0";"Februari 2019"
"Kota Madiun";"3445";"0";"Februari 2019"
"Kota Malang";"256022";"592";"Februari 2019"
"Kota Mojokerto";"5132";"0";"Februari 2019"
"Kota Pasuruan";"12661";"17";"Februari 2019"
"Kota Probolinggo";"88861";"500";"Februari 2019"
"Kota Surabaya";"689332";"6683";"Februari 2019"
"Bangkalan";"129957";"14";"Maret 2019"
"Banyuwangi";"437107";"6910";"Maret 2019"
"Blitar";"189798";"47";"Maret 2019"
"Bojonegoro";"54475";"0";"Maret 2019"
"Bondowoso";"47924";"5211";"Maret 2019"
"Gresik";"420722";"2858";"Maret 2019"
"Jember";"2557";"0";"Maret 2019"
"Jombang";"138598";"0";"Maret 2019"
"Kediri";"342108";"29";"Maret 2019"
"Lamongan";"275061";"17";"Maret 2019"
"Lumajang";"62283";"95";"Maret 2019"
"Madiun";"24797";"0";"Maret 2019"
"Magetan";"88839";"0";"Maret 2019"
"Malang";"542130";"4788";"Maret 2019"
"Mojokerto";"123098";"53";"Maret 2019"
"Nganjuk";"32473";"0";"Maret 2019"
"Ngawi";"48450";"1";"Maret 2019"
"Pacitan";"51738";"116";"Maret 2019"
"Pamekasan";"21367";"0";"Maret 2019"
"Pasuruan";"247047";"254";"Maret 2019"
"Ponorogo";"48733";"72";"Maret 2019"
"Probolinggo";"61829";"2157";"Maret 2019"
"Sampang";"38580";"0";"Maret 2019"
"Sidoarjo";"119816";"451";"Maret 2019"
"Situbondo";"59973";"119";"Maret 2019"
"Sumenep";"96861";"102";"Maret 2019"
"Trenggalek";"29605";"0";"Maret 2019"
"Tuban";"636769";"172";"Maret 2019"
"Tulungagung";"61468";"0";"Maret 2019"
"Kota Batu";"437643";"958";"Maret 2019"
"Kota Blitar";"137676";"122";"Maret 2019"
"Kota Kediri";"12214";"0";"Maret 2019"
"Kota Madiun";"3049";"0";"Maret 2019"
"Kota Malang";"248035";"362";"Maret 2019"
"Kota Mojokerto";"1774";"0";"Maret 2019"
"Kota Pasuruan";"15494";"6";"Maret 2019"
"Kota Probolinggo";"102464";"22";"Maret 2019"
"Kota Surabaya";"841803";"6654";"Maret 2019"
"Bangkalan";"130135";"7";"April 2019"
"Banyuwangi";"393795";"8413";"April 2019"
"Blitar";"198894";"67";"April 2019"
"Bojonegoro";"63658";"5";"April 2019"
